combined,negative,neutral,positive,inc/dec
0.10726666666666666,0.028999999999999998,0.9096666666666667,0.06133333333333333,0.0
0.4215,0.0,0.0,1.0,0.0
-0.0982625,0.092625,0.8668750000000001,0.0405,1.0
0.288416,0.01468,0.8340000000000001,0.15128,2.0
0.23171333333333333,0.07393333333333334,0.7683666666666666,0.15786666666666666,2.0
0.036399999999999995,0.16341666666666668,0.6858333333333334,0.15075000000000002,0.0
0.051640000000000005,0.10386666666666668,0.7349333333333334,0.16113333333333335,2.0
0.1099,0.056368421052631575,0.8282105263157895,0.11536842105263159,2.0
0.20035757575757573,0.026393939393939393,0.8244848484848485,0.14909090909090908,0.0
0.17965,0.209,0.652875,0.138,0.0
0.21888749999999998,0.113625,0.662625,0.223875,2.0
0.30423076923076925,0.061615384615384614,0.6038461538461538,0.33453846153846156,0.0
-0.076964,0.15996,0.69436,0.14564,2.0
0.20461600000000002,0.04748,0.72378,0.22874,0.0
0.18544166666666664,0.05525,0.6800833333333333,0.26475,2.0
-0.005100000000000013,0.17657142857142857,0.6782857142857143,0.145,0.0
0.20776,0.0,0.7176,0.2824,0.0
0.3328454545454545,0.0,0.8353636363636364,0.16463636363636364,2.0
0.35941428571428574,0.0,0.7048571428571428,0.2951428571428571,2.0
0.07734117647058823,0.1478235294117647,0.7085882352941176,0.14358823529411763,2.0
0.33966666666666673,0.0,0.9129999999999999,0.08700000000000001,2.0
0.9001,0.0,0.429,0.571,0.0
0.05464,0.0,0.9702,0.0298,2.0
0.4767,0.051,0.818,0.13,0.0
0.1591,0.0,0.8175,0.1825,1.0
0.26985,0.026875,0.782875,0.19025,2.0
0.41705000000000003,0.0,0.8105,0.1895,0.0
0.09487142857142858,0.047285714285714285,0.8811428571428571,0.07157142857142858,2.0
0.22042857142857142,0.08521428571428571,0.684142857142857,0.23064285714285715,2.0
0.3106894736842105,0.03694736842105263,0.8055789473684211,0.15752631578947368,2.0
-0.1531,0.19,0.685,0.125,0.0
0.2012,0.0355,0.8734999999999999,0.091,2.0
0.20095,0.0,0.845,0.155,0.0
0.1335,0.0,0.9620000000000001,0.038,2.0
0.0,0.0,1.0,0.0,0.0
0.1417,0.05623076923076924,0.8226153846153845,0.12115384615384615,2.0
0.20916,0.0984,0.5368,0.36479999999999996,0.0
0.16076944444444444,0.08725,0.7120277777777777,0.20075,2.0
0.18434310344827587,0.10477586206896551,0.6826206896551724,0.21262068965517242,0.0
0.0,0.0,1.0,0.0,0.0
0.28934,0.0366,0.6984,0.2651,2.0
-0.259075,0.13425,0.80125,0.06425,2.0
0.095625,0.066,0.865375,0.068625,0.0
