,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
,BTC-USD,CL=F,TSLA,^GSPC,^GSPTSE,^IXIC,BTC-USD,CL=F,TSLA,^GSPC,^GSPTSE,^IXIC,BTC-USD,CL=F,TSLA,^GSPC,^GSPTSE,^IXIC,BTC-USD,CL=F,TSLA,^GSPC,^GSPTSE,^IXIC,BTC-USD,CL=F,TSLA,^GSPC,^GSPTSE,^IXIC,BTC-USD,CL=F,TSLA,^GSPC,^GSPTSE,^IXIC
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-26 14:45:00+00:00,38253.71875,87.23999786376953,950.989990234375,4432.41015625,20870.400390625,13842.404296875,38253.71875,87.23999786376953,950.989990234375,4432.41015625,20870.400390625,13842.404296875,38264.55859375,87.29000091552734,953.0,4436.93017578125,20870.400390625,13854.119140625,38174.33203125,86.56999969482422,940.8599853515625,4406.830078125,20765.779296875,13765.16796875,38235.3359375,86.56999969482422,943.489990234375,4406.830078125,20765.779296875,13765.16796875,0,13616.0,1273885.0,123034861.0,11658376.0,203792968.0
2022-01-26 15:00:00+00:00,38313.609375,87.08999633789062,952.8150024414062,4425.7998046875,20887.9296875,13839.50390625,38313.609375,87.08999633789062,952.8150024414062,4425.7998046875,20887.9296875,13839.50390625,38335.296875,87.26000213623047,963.2999877929688,4444.830078125,20933.189453125,13901.9423828125,38231.62109375,86.9800033569336,949.3800048828125,4424.52001953125,20869.16015625,13835.8681640625,38254.76953125,87.23999786376953,951.0,4433.22021484375,20869.16015625,13837.4892578125,0,8735.0,1664193.0,107898177.0,10528856.0,187627474.0
2022-01-26 15:15:00+00:00,38007.390625,86.95999908447266,948.405029296875,4405.22021484375,20803.400390625,13774.1025390625,38007.390625,86.95999908447266,948.405029296875,4405.22021484375,20803.400390625,13774.1025390625,38291.1875,87.2300033569336,955.1699829101562,4429.93994140625,20908.970703125,13841.7490234375,38007.390625,86.91000366210938,943.8406982421875,4400.97021484375,20795.189453125,13761.9169921875,38291.1875,87.0999984741211,953.3400268554688,4425.580078125,20890.109375,13838.3779296875,0,8429.0,1033266.0,107347769.0,10234487.0,184555225.0
2022-01-26 15:30:00+00:00,38035.5703125,87.2300033569336,941.82373046875,4393.60009765625,20762.330078125,13738.0390625,38035.5703125,87.2300033569336,941.82373046875,4393.60009765625,20762.330078125,13738.0390625,38035.86328125,87.41000366210938,951.909912109375,4407.9501953125,20809.140625,13794.376953125,37958.03125,86.83000183105469,941.42626953125,4392.25,20762.330078125,13734.8349609375,37997.9765625,86.95999908447266,948.0449829101562,4405.25,20803.9296875,13774.9521484375,137701376,17499.0,663665.0,96400671.0,8615451.0,166307000.0
2022-01-26 15:45:00+00:00,38004.17578125,87.48999786376953,942.6649780273438,4405.2998046875,20812.48046875,13773.3818359375,38004.17578125,87.48999786376953,942.6649780273438,4405.2998046875,20812.48046875,13773.3818359375,38025.484375,87.54000091552734,945.5999755859375,4407.02978515625,20820.130859375,13776.79296875,37949.66796875,87.04000091552734,938.5499877929688,4390.10986328125,20750.759765625,13725.7197265625,38025.484375,87.2300033569336,942.394287109375,4393.7099609375,20762.900390625,13736.6103515625,19922944,22086.0,766060.0,86379656.0,8005868.0,145086000.0
2022-01-26 16:00:00+00:00,38103.89453125,87.63999938964844,947.5800170898438,4418.25,20840.390625,13809.87109375,38103.89453125,87.63999938964844,947.5800170898438,4418.25,20840.390625,13809.87109375,38105.74609375,87.73999786376953,948.3499755859375,4419.35986328125,20840.390625,13811.7880859375,37994.8203125,87.30999755859375,938.5700073242188,4397.8701171875,20788.220703125,13739.8955078125,38010.90625,87.48999786376953,942.489990234375,4405.2099609375,20808.75,13771.2734375,63547392,20121.0,682547.0,87060162.0,7612714.0,141187000.0
2022-01-26 16:15:00+00:00,38169.37109375,87.63999938964844,949.4099731445312,4420.47021484375,20856.98046875,13822.6640625,38169.37109375,87.63999938964844,949.4099731445312,4420.47021484375,20856.98046875,13822.6640625,38169.37109375,87.88999938964844,952.4500122070312,4424.009765625,20865.830078125,13834.3701171875,38107.14453125,87.62999725341797,946.25,4414.259765625,20823.669921875,13804.0087890625,38107.14453125,87.6500015258789,947.969970703125,4418.2998046875,20841.0,13810.087890625,58753024,15482.0,545283.0,73316953.0,6188086.0,118493000.0
2022-01-26 16:30:00+00:00,38169.8828125,87.44000244140625,953.4498901367188,4425.47998046875,20830.7109375,13845.98828125,38169.8828125,87.44000244140625,953.4498901367188,4425.47998046875,20830.7109375,13845.98828125,38170.3203125,87.75,954.6898803710938,4427.43994140625,20862.830078125,13849.1474609375,38079.04296875,87.37999725341797,945.5700073242188,4416.3701171875,20817.419921875,13813.330078125,38163.2421875,87.66000366210938,949.4199829101562,4420.39013671875,20857.189453125,13824.8759765625,0,11478.0,544057.0,70667524.0,5631822.0,121500000.0
2022-01-26 16:45:00+00:00,38231.921875,87.72000122070312,952.97998046875,4421.0400390625,20820.76953125,13836.9443359375,38231.921875,87.72000122070312,952.97998046875,4421.0400390625,20820.76953125,13836.9443359375,38231.921875,87.7300033569336,954.36767578125,4427.64013671875,20831.380859375,13852.126953125,38157.6328125,87.26000213623047,948.260009765625,4412.259765625,20796.029296875,13811.6064453125,38173.8671875,87.44999694824219,953.24169921875,4425.39013671875,20829.880859375,13844.9765625,0,18217.0,451804.0,62616023.0,5491590.0,113982000.0
2022-01-26 17:00:00+00:00,38334.984375,87.69000244140625,954.010009765625,4428.0,20831.080078125,13866.8271484375,38334.984375,87.69000244140625,954.010009765625,4428.0,20831.080078125,13866.8271484375,38334.984375,87.76000213623047,957.9199829101562,4429.919921875,20836.109375,13873.84765625,38239.73828125,87.61000061035156,952.8800048828125,4420.39990234375,20821.390625,13833.9892578125,38239.73828125,87.72000122070312,953.1400146484375,4421.0400390625,20823.16015625,13838.2275390625,325632,7510.0,600704.0,63163000.0,4449652.0,110718000.0
