,Date,Label,Price
198,2017-05-25,OPEN,62.20399856567383
199,2017-05-25,CLOSE,63.36600112915039
200,2017-05-26,OPEN,63.45600128173828
201,2017-05-26,CLOSE,65.02799987792969
202,2017-05-30,OPEN,65.19999694824219
203,2017-05-30,CLOSE,67.0199966430664
204,2017-05-31,OPEN,67.53800201416016
205,2017-05-31,CLOSE,68.2020034790039
206,2017-06-01,OPEN,68.80000305175781
207,2017-06-01,CLOSE,68.0739974975586
208,2017-06-02,OPEN,67.9540023803711
209,2017-06-02,CLOSE,67.97000122070312
210,2017-06-05,OPEN,67.69999694824219
211,2017-06-05,CLOSE,69.46399688720703
212,2017-06-06,OPEN,68.94000244140625
213,2017-06-06,CLOSE,70.56999969482422
214,2017-06-07,OPEN,71.26799774169922
215,2017-06-07,CLOSE,71.93000030517578
216,2017-06-08,OPEN,72.75
217,2017-06-08,CLOSE,74.0
218,2017-06-09,OPEN,74.88400268554688
219,2017-06-09,CLOSE,71.46399688720703
220,2017-06-12,OPEN,71.5979995727539
221,2017-06-12,CLOSE,71.802001953125
222,2017-06-13,OPEN,73.52400207519531
223,2017-06-13,CLOSE,75.19000244140625
224,2017-06-14,OPEN,76.21800231933594
225,2017-06-14,CLOSE,76.13200378417969
226,2017-06-15,OPEN,74.5
227,2017-06-15,CLOSE,75.06800079345703
228,2017-06-16,OPEN,75.59600067138672
229,2017-06-16,CLOSE,74.27999877929688
230,2017-06-19,OPEN,75.0
231,2017-06-19,CLOSE,73.95999908447266
232,2017-06-20,OPEN,75.33399963378906
233,2017-06-20,CLOSE,74.447998046875
234,2017-06-21,OPEN,74.87000274658203
235,2017-06-21,CLOSE,75.27999877929688
236,2017-06-22,OPEN,75.5979995727539
237,2017-06-22,CLOSE,76.52200317382812
238,2017-06-23,OPEN,76.48999786376953
239,2017-06-23,CLOSE,76.69000244140625
240,2017-06-26,OPEN,77.33799743652344
241,2017-06-26,CLOSE,75.49800109863281
242,2017-06-27,OPEN,75.27999877929688
243,2017-06-27,CLOSE,72.4739990234375
244,2017-06-28,OPEN,73.33599853515625
245,2017-06-28,CLOSE,74.24800109863281
246,2017-06-29,OPEN,74.12200164794922
247,2017-06-29,CLOSE,72.1500015258789
248,2017-06-30,OPEN,72.74199676513672
249,2017-06-30,CLOSE,72.3219985961914
250,2017-07-03,OPEN,74.0479965209961
251,2017-07-03,CLOSE,70.52400207519531
252,2017-07-05,OPEN,69.44000244140625
253,2017-07-05,CLOSE,65.41799926757812
254,2017-07-06,OPEN,63.45199966430664
255,2017-07-06,CLOSE,61.76599884033203
256,2017-07-07,OPEN,62.70000076293945
257,2017-07-07,CLOSE,62.64400100708008
258,2017-07-10,OPEN,62.58000183105469
259,2017-07-10,CLOSE,63.209999084472656
260,2017-07-11,OPEN,63.20000076293945
261,2017-07-11,CLOSE,65.44400024414062
262,2017-07-12,OPEN,66.08000183105469
263,2017-07-12,CLOSE,65.90399932861328
264,2017-07-13,OPEN,66.02200317382812
265,2017-07-13,CLOSE,64.68199920654297
266,2017-07-14,OPEN,64.63800048828125
267,2017-07-14,CLOSE,65.55599975585938
268,2017-07-17,OPEN,65.10800170898438
269,2017-07-17,CLOSE,63.91400146484375
270,2017-07-18,OPEN,63.5
271,2017-07-18,CLOSE,65.64800262451172
272,2017-07-19,OPEN,65.64600372314453
273,2017-07-19,CLOSE,65.052001953125
274,2017-07-20,OPEN,65.37999725341797
275,2017-07-20,CLOSE,65.98400115966797
276,2017-07-21,OPEN,65.89199829101562
277,2017-07-21,CLOSE,65.68000030517578
278,2017-07-24,OPEN,66.0479965209961
279,2017-07-24,CLOSE,68.50399780273438
280,2017-07-25,OPEN,69.0
281,2017-07-25,CLOSE,67.91999816894531
282,2017-07-26,OPEN,68.0719985961914
283,2017-07-26,CLOSE,68.7699966430664
284,2017-07-27,OPEN,69.19999694824219
285,2017-07-27,CLOSE,66.89199829101562
286,2017-07-28,OPEN,67.37799835205078
287,2017-07-28,CLOSE,67.01399993896484
288,2017-07-31,OPEN,67.0999984741211
289,2017-07-31,CLOSE,64.69400024414062
290,2017-08-01,OPEN,64.5999984741211
291,2017-08-01,CLOSE,63.91400146484375
292,2017-08-02,OPEN,63.78799819946289
293,2017-08-02,CLOSE,65.1780014038086
294,2017-08-03,OPEN,69.06600189208984
295,2017-08-03,CLOSE,69.41799926757812
296,2017-08-04,OPEN,69.4000015258789
297,2017-08-04,CLOSE,71.38200378417969
298,2017-08-07,OPEN,71.47000122070312
299,2017-08-07,CLOSE,71.03399658203125
300,2017-08-08,OPEN,71.50599670410156
301,2017-08-08,CLOSE,73.04399871826172
302,2017-08-09,OPEN,72.19999694824219
303,2017-08-09,CLOSE,72.70600128173828
304,2017-08-10,OPEN,72.31999969482422
305,2017-08-10,CLOSE,71.08000183105469
306,2017-08-11,OPEN,71.39399719238281
307,2017-08-11,CLOSE,71.5739974975586
308,2017-08-14,OPEN,72.9260025024414
309,2017-08-14,CLOSE,72.76000213623047
310,2017-08-15,OPEN,73.04000091552734
311,2017-08-15,CLOSE,72.46600341796875
312,2017-08-16,OPEN,72.5999984741211
313,2017-08-16,CLOSE,72.58200073242188
314,2017-08-17,OPEN,72.24199676513672
315,2017-08-17,CLOSE,70.38400268554688
316,2017-08-18,OPEN,70.58200073242188
317,2017-08-18,CLOSE,69.49199676513672
318,2017-08-21,OPEN,69.16400146484375
319,2017-08-21,CLOSE,67.5719985961914
320,2017-08-22,OPEN,68.22599792480469
321,2017-08-22,CLOSE,68.2699966430664
322,2017-08-23,OPEN,67.7979965209961
323,2017-08-23,CLOSE,70.55400085449219
324,2017-08-24,OPEN,70.50399780273438
325,2017-08-24,CLOSE,70.58599853515625
326,2017-08-25,OPEN,70.8479995727539
327,2017-08-25,CLOSE,69.61000061035156
328,2017-08-28,OPEN,69.45600128173828
329,2017-08-28,CLOSE,69.13200378417969
330,2017-08-29,OPEN,67.89600372314453
331,2017-08-29,CLOSE,69.47200012207031
332,2017-08-30,OPEN,69.93399810791016
333,2017-08-30,CLOSE,70.63600158691406
334,2017-08-31,OPEN,70.70999908447266
335,2017-08-31,CLOSE,71.18000030517578
336,2017-09-01,OPEN,71.2239990234375
337,2017-09-01,CLOSE,71.08000183105469
338,2017-09-05,OPEN,70.76000213623047
339,2017-09-05,CLOSE,69.91799926757812
340,2017-09-06,OPEN,69.9000015258789
341,2017-09-06,CLOSE,68.90599822998047
342,2017-09-07,OPEN,69.19599914550781
343,2017-09-07,CLOSE,70.12200164794922
344,2017-09-08,OPEN,69.7979965209961
345,2017-09-08,CLOSE,68.68000030517578
346,2017-09-11,OPEN,70.2699966430664
347,2017-09-11,CLOSE,72.73799896240234
348,2017-09-12,OPEN,72.89800262451172
349,2017-09-12,CLOSE,72.55000305175781
350,2017-09-13,OPEN,72.76399993896484
351,2017-09-13,CLOSE,73.24600219726562
352,2017-09-14,OPEN,72.86599731445312
353,2017-09-14,CLOSE,75.52799987792969
354,2017-09-15,OPEN,74.9020004272461
355,2017-09-15,CLOSE,75.96199798583984
356,2017-09-18,OPEN,76.05000305175781
357,2017-09-18,CLOSE,77.0
358,2017-09-19,OPEN,76.0
359,2017-09-19,CLOSE,75.0199966430664
360,2017-09-20,OPEN,74.5999984741211
361,2017-09-20,CLOSE,74.78199768066406
362,2017-09-21,OPEN,74.9800033569336
363,2017-09-21,CLOSE,73.2959976196289
364,2017-09-22,OPEN,73.2979965209961
365,2017-09-22,CLOSE,70.21800231933594
366,2017-09-25,OPEN,70.62999725341797
367,2017-09-25,CLOSE,68.99800109863281
