Date,combined,combined,combined,negative,negative,negative,neutral,neutral,neutral,positive,positive,positive,CL=FDirection,GSPCDirection,GSPTSEDirection,IXICDirection,BTC-USDDirection,TSLADirection
,count,mean,var,count,mean,var,count,mean,var,count,mean,var,mean,mean,mean,mean,mean,mean
2022-02-02 10:30:00,3,-0.4227666666666667,0.05448540333333333,3,0.20066666666666666,0.0011453333333333333,3,0.7993333333333333,0.0011453333333333322,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-02 10:45:00,1,-0.5267,,1,0.298,,1,0.702,,1,0.0,,2.0,2.0,2.0,2.0,0.0,2.0
2022-02-02 11:00:00,1,0.128,,1,0.0,,1,0.8,,1,0.2,,2.0,0.0,0.0,0.0,0.0,0.0
2022-02-02 11:15:00,1,0.0,,1,0.0,,1,1.0,,1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-02 11:30:00,2,-0.25445,0.29253600500000004,2,0.194,0.007938,2,0.73,0.0003380000000000006,2,0.076,0.011552,0.0,2.0,2.0,2.0,2.0,2.0
2022-02-02 11:45:00,1,-0.6369,,1,0.149,,1,0.851,,1,0.0,,2.0,0.0,0.0,0.0,0.0,0.0
2022-02-02 12:00:00,2,0.29295,0.171639405,2,0.028,0.0015680000000000002,2,0.891,0.023761999999999995,2,0.081,0.013122,2.0,2.0,2.0,2.0,2.0,2.0
2022-02-02 12:15:00,2,-0.47825,0.45744612500000004,2,0.214,0.09159199999999999,2,0.7645,0.11092050000000002,2,0.022,0.0009679999999999999,2.0,2.0,2.0,2.0,2.0,2.0
2022-02-02 12:30:00,1,0.0,,1,0.0,,1,1.0,,1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-02 12:45:00,1,-0.3182,,1,0.204,,1,0.796,,1,0.0,,0.0,2.0,2.0,2.0,0.0,2.0
2022-02-02 13:00:00,3,0.017533333333333328,0.4481909233333334,3,0.14933333333333335,0.006737333333333331,3,0.6566666666666667,0.02206433333333334,3,0.19400000000000003,0.03136900000000001,2.0,2.0,2.0,2.0,2.0,2.0
2022-02-02 13:15:00,1,0.34,,1,0.0,,1,0.789,,1,0.211,,2.0,0.0,0.0,0.0,2.0,0.0
2022-02-02 13:30:00,2,-0.36345,0.264191805,2,0.095,0.01805,2,0.905,0.01804999999999999,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2022-02-02 13:45:00,1,-0.3818,,1,0.224,,1,0.776,,1,0.0,,2.0,2.0,2.0,2.0,2.0,0.0
2022-02-02 14:00:00,2,0.0,0.0,2,0.0,0.0,2,1.0,0.0,2,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0
2022-02-02 14:15:00,2,0.11534999999999998,0.33841764499999993,2,0.16,5.000000000000009e-05,2,0.6579999999999999,0.06993800000000001,2,0.1825,0.06661249999999999,0.0,0.0,0.0,0.0,2.0,2.0
2022-02-02 14:30:00,1,0.3612,,1,0.0,,1,0.696,,1,0.304,,0.0,2.0,0.0,0.0,2.0,0.0
2022-02-02 14:45:00,2,0.49255,0.11766100499999999,2,0.0675,0.0091125,2,0.585,0.016928,2,0.34750000000000003,0.050880499999999995,0.0,2.0,2.0,2.0,2.0,2.0
2022-02-02 15:00:00,2,-0.26335,0.13870644499999998,2,0.149,0.044402,2,0.851,0.04440200000000001,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2022-02-02 15:15:00,2,-0.11745,0.027589005,2,0.076,0.011552,2,0.8714999999999999,0.03302450000000002,2,0.0525,0.005512499999999999,2.0,2.0,0.0,2.0,2.0,0.0
2022-02-02 15:30:00,1,0.128,,1,0.212,,1,0.531,,1,0.257,,0.0,2.0,2.0,2.0,0.0,0.0
2022-02-02 15:45:00,1,0.0,,1,0.0,,1,1.0,,1,0.0,,2.0,2.0,0.0,2.0,0.0,0.0
2022-02-02 16:00:00,1,0.0,,1,0.0,,1,1.0,,1,0.0,,0.0,,,,2.0,
2022-02-03 09:30:00,91,0.06772747252747252,0.1627290464590965,91,0.08995604395604395,0.016490175824175828,91,0.7943076923076923,0.029112704273504278,91,0.11569230769230769,0.019115393162393163,2.0,0.0,0.0,0.0,0.0,0.0
2022-02-03 09:45:00,1,-0.2732,,1,0.259,,1,0.741,,1,0.0,,2.0,0.0,0.0,2.0,2.0,2.0
2022-02-03 10:00:00,1,0.0,,1,0.0,,1,1.0,,1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-03 10:15:00,1,-0.7269,,1,0.574,,1,0.426,,1,0.0,,2.0,2.0,2.0,2.0,2.0,2.0
2022-02-03 10:30:00,2,-0.0258,0.00133128,2,0.0875,0.015312499999999998,2,0.8335,0.05544449999999999,2,0.079,0.012482,2.0,2.0,2.0,2.0,2.0,2.0
2022-02-03 10:45:00,1,0.3818,,1,0.0,,1,0.658,,1,0.342,,2.0,0.0,2.0,0.0,2.0,0.0
2022-02-03 11:00:00,2,-0.15170000000000003,0.40087058000000003,2,0.14950000000000002,0.0004805000000000004,2,0.6985,0.010804500000000003,2,0.152,0.015842,2.0,0.0,2.0,0.0,2.0,2.0
2022-02-03 11:15:00,3,0.13176666666666667,0.46776976333333337,3,0.051333333333333335,0.007905333333333334,3,0.8526666666666666,0.020769333333333348,3,0.09599999999999999,0.027648,2.0,2.0,2.0,2.0,2.0,2.0
2022-02-03 11:30:00,3,0.0,0.0,3,0.0,0.0,3,1.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-03 11:45:00,2,0.33525,0.224785125,2,0.0265,0.0014045,2,0.871,0.033282,2,0.102,0.020807999999999997,2.0,0.0,0.0,0.0,0.0,2.0
2022-02-03 12:00:00,4,0.11520000000000001,0.04295128666666667,4,0.0335,0.0017903333333333332,4,0.877,0.013835999999999996,4,0.08975,0.013021583333333335,2.0,0.0,2.0,0.0,0.0,0.0
2022-02-03 12:15:00,2,0.25365,0.415780805,2,0.0705,0.009940499999999998,2,0.856,1.800000000000003e-05,2,0.0735,0.010804499999999998,0.0,2.0,0.0,2.0,0.0,0.0
2022-02-03 12:30:00,3,0.07153333333333335,0.16648865333333335,3,0.09666666666666668,0.012049333333333336,3,0.8483333333333333,0.017384333333333342,3,0.055,0.009075000000000001,0.0,0.0,2.0,0.0,2.0,0.0
2022-02-03 12:45:00,1,0.0,,1,0.0,,1,1.0,,1,0.0,,0.0,0.0,0.0,0.0,2.0,0.0
2022-02-03 13:00:00,3,-0.13366666666666668,0.4002840833333334,3,0.11666666666666665,0.04083333333333333,3,0.844,0.03170800000000001,3,0.03933333333333333,0.004641333333333333,2.0,2.0,2.0,2.0,2.0,0.0
2022-02-03 13:15:00,3,-0.2364333333333333,0.18666774333333333,3,0.057666666666666665,0.009976333333333332,3,0.892,0.010429,3,0.050333333333333334,0.003970333333333333,2.0,0.0,0.0,0.0,0.0,0.0
2022-02-03 13:30:00,2,0.04745000000000002,0.368511125,2,0.1885,0.0025205000000000006,2,0.6525000000000001,0.030504499999999986,2,0.1585,0.050244500000000004,2.0,2.0,2.0,2.0,0.0,2.0
2022-02-03 13:45:00,2,-0.17435000000000003,0.664128125,2,0.2195,0.0581405,2,0.7244999999999999,0.026220499999999983,2,0.056,0.006272000000000001,2.0,0.0,2.0,0.0,2.0,0.0
2022-02-03 14:00:00,2,-0.2059,0.08478962,2,0.0875,0.015312499999999998,2,0.9125,0.015312500000000008,2,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0
2022-02-03 14:15:00,1,-0.3818,,1,0.342,,1,0.658,,1,0.0,,2.0,2.0,2.0,0.0,0.0,0.0
2022-02-03 14:30:00,2,-0.64215,0.014365124999999998,2,0.4855,0.015664499999999987,2,0.5145,0.015664499999999994,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2022-02-03 14:45:00,1,-0.4019,,1,0.231,,1,0.769,,1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-03 15:00:00,2,0.26744999999999997,0.026151844999999983,2,0.058,0.0067280000000000005,2,0.6645000000000001,8.449999999999942e-05,2,0.2775,0.008320500000000005,2.0,2.0,2.0,2.0,2.0,2.0
2022-02-03 15:15:00,2,0.0,0.0,2,0.0,0.0,2,1.0,0.0,2,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0
2022-02-03 15:30:00,1,0.0258,,1,0.0,,1,0.879,,1,0.121,,2.0,2.0,2.0,2.0,0.0,0.0
2022-02-03 15:45:00,1,0.0,,1,0.0,,1,1.0,,1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-04 09:30:00,105,0.0949247619047619,0.1644030389963369,105,0.08903809523809524,0.012313671611721614,105,0.7902285714285715,0.023870293406593412,105,0.12074285714285715,0.016302635164835162,2.0,0.0,2.0,2.0,2.0,0.0
2022-02-04 09:45:00,2,0.1806,0.06523272000000001,2,0.0,0.0,2,0.9590000000000001,0.0033620000000000013,2,0.041,0.0033620000000000004,2.0,2.0,2.0,2.0,2.0,2.0
2022-02-04 10:00:00,2,-0.16,0.05005448,2,0.20350000000000001,0.010804500000000003,2,0.7135,0.00018050000000000138,2,0.083,0.013778000000000002,2.0,0.0,0.0,2.0,2.0,2.0
2022-02-04 10:15:00,2,0.013400000000000023,0.51470658,2,0.143,0.04089799999999999,2,0.705,0.00016200000000000028,2,0.152,0.046208,2.0,2.0,2.0,2.0,2.0,2.0
2022-02-04 10:30:00,3,0.30416666666666664,0.1771360833333333,3,0.0,0.0,3,0.8886666666666666,0.012432333333333333,3,0.11133333333333334,0.012432333333333333,0.0,0.0,0.0,0.0,2.0,2.0
2022-02-04 10:45:00,1,0.2732,,1,0.0,,1,0.811,,1,0.189,,0.0,0.0,0.0,0.0,0.0,0.0
